Training model...
Loss value: 1.4575404189974734
Loss value: 1.3478309437630496
Loss value: 1.3110578785855962
Loss value: 1.3516278927063987
Loss value: 1.3341495336535707
Loss value: 1.2777322895820002
Loss value: 1.4054111503248714
Loss value: 1.2570127988800173
Loss value: 1.2326277732281368
Loss value: 1.2095660831498616
Loss value: 1.22117209645344
Loss value: 1.2019406951419385
Loss value: 1.2116752321069508
Loss value: 1.2015889882634185
Loss value: 1.206212088907333
Loss value: 1.205253425785772
Loss value: 1.1985417139757777
Loss value: 1.2002485428632648
Loss value: 1.1987156005552586
Loss value: 1.197865279839763
Loss value: 1.198172417826042
Loss value: 1.19905998615231
Loss value: 1.1982359789954653
Loss value: 1.1979027114691416
Loss value: 1.1987970226771623
Loss value: 1.197548005279102
Loss value: 1.1977126404248415
Loss value: 1.1976456517146867
Loss value: 1.197566715993836
Loss value: 1.19827758789989
Loss value: 1.1983382298297136
Loss value: 1.1975862955738912
Loss value: 1.198447220158577
Loss value: 1.1982088648921576
Loss value: 1.1973167722798967
Loss value: 1.1974630363277423
Loss value: 1.1973391580214303
Loss value: 1.1986337866555792
Loss value: 1.1983148795914895
Loss value: 1.197907950868633
Loss value: 1.1979377319587083
Loss value: 1.19725187924142
Loss value: 1.1983574669850718
Loss value: 1.1984291142178847
Loss value: 1.197776515000362
Loss value: 1.198735309327349
Loss value: 1.1973734686983986
Loss value: 1.1986561060020244
Loss value: 1.19860313541376
Loss value: 1.197157645658948
Loss value: 1.1973437429148581
--------------------
Optimal parameter Theta: [6.31647034 5.34995801 3.14523017 2.06370257]
--------------------
Training duration: 19min41.40s
--------------------
Compute the accuracy...
Acurracy of the XOR circuit: 59.25%
Training model...
Loss value: 2.7451632780331003
Loss value: 3.7799361687691135
Loss value: 3.2243087747569636
Loss value: 3.5535045845279996
Loss value: 2.375333949776462
Loss value: 1.9582679048634903
Loss value: 3.219161500895241
Loss value: 1.6324014605741966
Loss value: 1.7016119568840578
Loss value: 1.6939885612527288
Loss value: 1.5394327958183471
Loss value: 2.0202776201360817
Loss value: 1.5437880120601224
Loss value: 1.6400276720745428
Loss value: 1.502702187924333
Loss value: 1.5295054352305228
Loss value: 1.5441376239777314
Loss value: 1.5280998264283823
Loss value: 1.5341737328900555
Loss value: 1.5180799831621057
Loss value: 1.494773288845628
Loss value: 1.487256710228428
Loss value: 1.4768724335722243
Loss value: 1.4734146872490448
Loss value: 1.479040715933572
Loss value: 1.4760689548333457
Loss value: 1.470673100883935
Loss value: 1.466041765342644
Loss value: 1.4703874481634258
Loss value: 1.4802007434312303
Loss value: 1.4667994423197896
Loss value: 1.4672644133292052
Loss value: 1.4667308220430038
Loss value: 1.469346462848856
Loss value: 1.4686914475587667
Loss value: 1.4704958100840309
Loss value: 1.4672436492564087
Loss value: 1.4664014734416029
Loss value: 1.4677059992888681
Loss value: 1.4666710679612276
Loss value: 1.4675509916837899
Loss value: 1.4671033355064265
Loss value: 1.4687471198296547
Loss value: 1.4671365188841639
Loss value: 1.4691015368738962
Loss value: 1.4690989326534547
Loss value: 1.469123986060583
Loss value: 1.4673718575456893
Loss value: 1.4689772360081876
Loss value: 1.4667665545710242
Loss value: 1.4688949815032477
Loss value: 1.4684802173054388
Loss value: 1.4669663090946592
Loss value: 1.466311465296239
Loss value: 1.4667570658376772
--------------------
Optimal parameter Theta: [-0.03403825  1.60678173  4.18184946  4.87763967]
--------------------
Training duration: 25min13.92s
--------------------
Compute the accuracy...
Acurracy of the XOR circuit: 62.775%
